Values for Sample G 
The total number of words = 2104828
The total number of distinct = 36986
The popular treshold words = 1850
The common treshold 1 words = 17568
The common treshold 2 words = 19418
____________________________________________________________________________________________________________
Table for the top values
+--------------+-----+----+
|          Word|Count|Rank|
|      havisham|  243| 836|
|        regard|  243| 837|
|       troilus|  243| 838|
|        cassio|  243| 839|
|     attention|  242| 840|
|         touch|  242| 841|
|         begin|  241| 842|
|          hate|  241| 843|
|         edgar|  241| 844|
|       chamber|  240| 845|
|      presence|  240| 846|
|    impossible|  239| 847|
|       passion|  239| 848|
|       content|  239| 849|
|          hell|  239| 850|
|      feelings|  238| 851|
|          wait|  238| 852|
|      syracuse|  238| 853|
|         chair|  237| 854|
|      straight|  237| 855|
|          ways|  236| 856|
|           dog|  235| 857|
|      thinking|  235| 858|
|         canst|  235| 859|
|        secret|  234| 860|
|         meant|  234| 861|
|         truly|  234| 862|
|          suit|  234| 863|
|        proper|  234| 864|
|          pale|  234| 865|
|        doctor|  234| 866|
|           iii|  233| 867|
|        effect|  233| 868|
|        hearts|  233| 869|
|       receive|  233| 870|
|        emilia|  233| 871|
|          grey|  232| 872|
|          lear|  232| 873|
|       beseech|  232| 874|
|       several|  231| 875|
|           six|  231| 876|
|       captain|  231| 877|
|      dashwood|  231| 878|
|       english|  230| 879|
|        afraid|  230| 880|
|      speaking|  230| 881|
|           sin|  230| 882|
|     valentine|  230| 883|
|  conversation|  229| 884|
|         clear|  229| 885|
|     satisfied|  229| 886|
|         spite|  229| 887|
|         flame|  229| 888|
|       turning|  228| 889|
|        health|  228| 890|
|     christian|  227| 891|
|         judge|  227| 892|
|       estella|  227| 893|
|         didst|  227| 894|
|     exclaimed|  226| 895|
|       cassius|  226| 896|
|     desdemona|  226| 897|
|      observed|  225| 898|
|            ho|  224| 899|
|       feeling|  223| 900|
|         paper|  223| 901|
|      gracious|  223| 902|
|         frank|  223| 903|
|        dromio|  223| 904|
|          rose|  222| 905|
|         added|  222| 906|
|         takes|  222| 907|
|         offer|  221| 908|
|     beginning|  220| 909|
|         piece|  219| 910|
|      whatever|  219| 911|
|         parts|  219| 912|
|    antipholus|  219| 913|
|       proteus|  219| 914|
|        breast|  218| 915|
|     ourselves|  218| 916|
|      consider|  218| 917|
|        speech|  218| 918|
|          view|  218| 919|
|        former|  217| 920|
|       pleased|  217| 921|
|       palamon|  217| 922|
|           ran|  216| 923|
|       entered|  216| 924|
|      greatest|  216| 925|
|         smile|  216| 926|
|         fresh|  216| 927|
|       knowing|  215| 928|
|       wherein|  215| 929|
